CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 8:00 AM, sábado 12 de julio de 2025 y 8:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 9:32 AM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
88,SwP7Q2haoxpylRPzmSJ1-SENCILLAS,-,Enfrijoladas SENCILLAS,MENU ,-,41," $4,760.00 "
89,FdWZfoQwGLK1CtF11FrQ,-,FAJITAS DE ARRACHERA,MENU ,-,11," $2,915.00 "
90,vutCcPRMRIIKY56MMOU7,-,KILO DE ROMERITOS,NAVIDAD,-,42.254," $33,169.39 "
91,1619020699140-OMELETTE DE CHAMPIÑONES O FLOR DE CALABAZA O HUITLACOCHE,-,Huevos OMELETTE DE CHAMPIÑONES O FLOR DE CALABAZA O HUITLACOCHE,MENU ,-,5, $845.00 
92,1619020699140-OMELETTE LIGERO CON GUISO,-,Huevos OMELETTE LIGERO CON GUISO,MENU ,-,3, $515.00 
93,1619020699151-SENCILLA,-,Gorditas SENCILLA,DEL COMAL,-,78," $3,510.00 "
94,qsBr39LxFbNkid7B3EC0-DE PAPA CON CHORIZO,-,Flautas DE PAPA CON CHORIZO,MENU ,-,31," $4,325.00 "
95,SwP7Q2haoxpylRPzmSJ1-CON CECINA,-,Enfrijoladas CON CECINA,MENU ,-,12," $2,550.00 "
96,1iZHMHeS3gucL8Q1rtsb,-,Chilaquiles con Pollo,-,-,145," $31,365.00 "
97,n16nyWRrB8z1eLD3NrCd,-,Quesadillas,-,-,422," $31,228.00 "
98,E7ti1RXm1X2bfm9b5lwH,-,EVENTO MARCELA,GUISOS POR KG,-,5," $25,208.00 "
99,1619020699152-ESPECIAL (CON CECINA O ARRACHERA O CARNITAS),-,Sopes ESPECIAL (CON CECINA O ARRACHERA O CARNITAS),DEL COMAL,-,88," $7,920.00 "
100,SwP7Q2haoxpylRPzmSJ1-YUCATECAS,-,Enfrijoladas YUCATECAS,MENU ,-,3, $570.00 
101,SwP7Q2haoxpylRPzmSJ1-CON ARRACHERA,-,Enfrijoladas CON ARRACHERA,MENU ,-,11," $2,305.00 "
102,1619020699149-CON MILANESA DE RES,-,Tecolota CON MILANESA DE RES,MENU ,-,29," $5,350.00 "
103,ILtN9PT4p3dXgXuPiEEV-CECINA O ARRACHERA,-,CHILAQUILES CECINA O ARRACHERA, ANAHUAC,-,10," $1,708.50 "
104,1619020699142-CON CHORIZO,-,Molletes CON CHORIZO,MENU ,-,20," $3,530.00 "
105,1619020699145-COCHINITA,-,Tortas COCHINITA,MENU ,-,49," $8,450.00 "
106,1619020699145-LA OAXAQUEÑA,-,Tortas LA OAXAQUEÑA,MENU ,-,52," $10,225.00 "
107,1619020699140-ESTRELLADOS,-,Huevos ESTRELLADOS,MENU ,-,3, $345.00 
108,1619020699155-CON BISTEC O POLLO O CHORIZO,-,Quesadillas CON BISTEC O POLLO O CHORIZO,DEL COMAL,-,64," $4,345.00 "
109,1619020699142-CON ARRACHERA,-,Molletes CON ARRACHERA,MENU ,-,11," $2,215.00 "
110,7QkZr4vVaWEnYtj3IGLt,-,Torta de Arrachera,-,-,98," $22,262.00 "
111,N7TPggqishErhAnyozx7,-,Flautas de Pollo,-,-,106," $22,249.00 "
112,c1qAnoYpyV3DX20hkTyM-CHAPARRITA,-,Refrescos CHAPARRITA,Bebidas ,-,29, $870.00 
113,1619020699146-DE GUISO DE COMAL,-,Enchiladas DE GUISO DE COMAL,MENU ,-,2, $300.00 
114,1619020699146-ENCHILADAS SENCILLAS,-,Enchiladas ENCHILADAS SENCILLAS,MENU ,-,10," $1,420.00 "
115,wEYVITjkFUruJoLnpmCR,-,Chilaquiles Con Pollo,-,-,103," $21,607.00 "
116,ZHDqIwsAO7P1ni9yKPlj,-,Pastel de Elote,POSTRES,-,4, $280.00 
117,SwP7Q2haoxpylRPzmSJ1-CON BISTEC,-,Enfrijoladas CON BISTEC,MENU ,-,6," $1,000.00 "
