CURRUCUCU ZIBATA. 8D2PL9LSNTMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historial de ventas del domingo 12 de julio de 2026 al lunes 13 de julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fecha de exportación: 10:22 AM, miércoles 15 de julio de 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Venta Único,ID Artículo,ID de Cliente,Cliente,Teléfono Cliente,Código (SKU),Descripción Artículo,ID Categoría,Categoría,ID Subcategoría,Subcategoría,Cantidad Artículo, Importe Artículo ,ID Venta Numérico,Referencia,Estatus,Tipo de Venta,Artículos Total, Total Venta , Pago Total Venta , Pago Efectivo Venta , Pago Tarjetas Venta , Cambio Venta , Propina Venta ,Cierre de Venta,Registró Venta,Mesa Venta,Mesero Venta,Tipo de Servicio Venta, Descuento (Cortesía) 
2026-07-12_servicioEntrega,1619020699153-CON 1 GUISO,,,,-,Tacos CON 1 GUISO,YQIH7dRsprDKo7czQeKH,COMAL,-,-,3, $105.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,TORTA_DE_MILANESA_DE,,,,-,TORTA DE MILANESA DE POLLO O RES,-,-,-,-,2, $432.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,RkBVIiC4Ubk5g9ThOy4m,,,,-,Huevos a La Mexicana,9Uo0tvei1CnvEW5EqiRu,Huevos,-,-,2, $324.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,f5S7P8Zowjn3uCHR34LX,,,,-,Molletes de Huevo,LaV5omLHDLKED5eKwVi3,Molletes,-,-,1, $182.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,N7TPggqishErhAnyozx7,,,,-,Flautas de Pollo,Kb5eQFUFnWPZ9P02TUOz,Flautas,-,-,1, $229.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,SwP7Q2haoxpylRPzmSJ1-SENCILLAS,,,,-,Enfrijoladas SENCILLAS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $120.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699148-SENCILLOS,,,,-,Chilaquiles SENCILLOS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $150.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699148-CON CECINA,,,,-,Chilaquiles CON CECINA,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $210.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699146-ENCHILADAS SENCILLAS,,,,-,Enchiladas ENCHILADAS SENCILLAS,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $280.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,sEoTfpjxoKaAvCWrN0Y9,,,,-,Chilaquiles Sencillos,PWUBPrGUOLTpErOda4NP,Chilaquiles,-,-,1, $128.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,qsBr39LxFbNkid7B3EC0-DE PAPA,,,,-,Flautas DE PAPA,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $120.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,1619020699145-MILANESA DE POLLO,,,,-,Tortas MILANESA DE POLLO,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,2, $320.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
2026-07-12_servicioEntrega,9pkEXghxcivPiSOBuXQ7-Mediano,,,,-,Consome de Pollo Mediano,PtxDlyC77M9zbHO7pdwy,MENU ,-,-,1, $140.00 ,,,Completada,Pedido a Domicilio,107," $9,386.00 "," $6,820.00 "," $3,700.00 "," $2,825.00 "," $1,085.00 ", $-   ,"4:19 PM, domingo 12 de julio de 2026",,,,,
