CURRUCUCU SUCURSAL EL REFUGIO. 137DS8GA3HCR,,,,,,,
Ventas de Productos,,,,,,,
"Lista de Productos en las ventas de entre 0:00 AM, sábado 12 de julio de 2025 y 0:00 AM, lunes 13 de julio de 2026",,,,,,,
"Fecha de exportación: 2:53 PM, miércoles 15 de julio de 2026",,,,,,,
#,ID Alfanumérico,Código (SKU),Nombre,Categoría,Subcategoría,Cantidad, Importe 
145,c1qAnoYpyV3DX20hkTyM-CHAPARRITA,-,Refrescos CHAPARRITA,Bebidas ,-,32, $960.00 
146,yPmwzynvhI8C4FxkunRf,-,Flautas Mixtas,-,-,25," $4,550.00 "
147,1619020699140-OMELETTE LIGERO CON GUISO,-,Huevos OMELETTE LIGERO CON GUISO,MENU ,-,1, $160.00 
148,SwP7Q2haoxpylRPzmSJ1-JUANA GALLO,-,Enfrijoladas JUANA GALLO,MENU ,-,4, $860.00 
149,1619020699142-CON ARRACHERA,-,Molletes CON ARRACHERA,MENU ,-,3, $585.00 
150,1619020699156-SENCILLO,-,Huaraches SENCILLO,DE NUESTRO COMAL,-,23," $1,535.00 "
151,pk7e51ajojBz2DVniIoo,-,Enfrijoladas Con Pollo,-,-,20," $4,320.00 "
152,1619020699145-CECINA,-,Tortas CECINA,MENU ,-,22," $3,520.00 "
153,1619020699142-CON CON BISTEC,-,Molletes CON CON BISTEC,MENU ,-,18," $3,060.00 "
154,1619020699140-CON TOCINO,-,Huevos CON TOCINO,MENU ,-,3, $392.00 
155,1619020699154,-,Tacos ORDEN CECINA,MENU ,-,16," $1,074.00 "
156,1619020699140-REVUELTOS,-,Huevos REVUELTOS,MENU ,-,11," $1,026.25 "
157,wkU2sHldo4I9FOg1I8bU,-,PKT MARIACHI,PAQUETES ,-,2," $3,960.00 "
158,ZHgQktd8drHU2XJrjIrw,-,Rusa,Bebidas ,-,2, $100.00 
159,1619020699145-LA DEL CAZO,-,Tortas LA DEL CAZO,MENU ,-,12," $1,940.00 "
160,1619020699140-ESTRELLADOS,-,Huevos ESTRELLADOS,MENU ,-,4, $345.00 
161,c1qAnoYpyV3DX20hkTyM-LIGHT,-,COCA COLA LIGHT,Bebidas ,-,10, $400.00 
162,1619020699145-POLLO O CHORIZO,-,Tortas POLLO O CHORIZO,MENU ,-,22," $3,190.00 "
163,mz6Mm4rUsCPjSC37ab0Z,-,Refresco,-,-,70," $3,780.00 "
164,SwP7Q2haoxpylRPzmSJ1-RANCHERAS,-,Enfrijoladas RANCHERAS,MENU ,-,6," $1,050.00 "
165,8P7HACnKHLjwnZCnYzvv,-,Huevos Con Chorizo,-,-,20," $3,640.00 "
166,6pYpM70U7ggrawRa7bg4,-,PAQUETE 3,MENU NAVIDEÑO,-,3," $3,600.00 "
167,WjXVPHMEceTFOPBLOlp5,-,Agua Del Día,-,-,71," $3,550.00 "
168,A0XEC9bS5jpfnJpReIMF,-,EVENTO DE TACOS 26 DIC,PAQUETES ,-,1," $3,415.00 "
169,SwP7Q2haoxpylRPzmSJ1-CHORIZO,-,Enfrijoladas CHORIZO,MENU ,-,4, $560.00 
170,3eidOMlkoIdjHq0Zf8xm,-,SPRITE,Bebidas ,-,5, $200.00 
171,D70tnZtN3bFPVMUgNCQ3,-,TAMPIQUEÑA RES,PAQUETES ,-,7," $1,435.00 "
172,eBiMpZPvI3eJzCdN6P5N,-,Pozole Mediano,-,-,19," $3,268.00 "
173,ER5SyDZCvEFwywnAShJu,-,BACALAO 1/2 KG,MENU NAVIDEÑO,-,7," $3,240.50 "
174,1619020699149-MILANESA DE RES,-,Tecolota MILANESA DE RES,MENU ,-,3, $540.00 
175,oHQmEMls5GOqUqd3ZgKp,-,Sope,-,-,46," $3,212.00 "
176,1619020699151-CON 2 GUISOS,-,Gorditas CON 2 GUISOS,DE NUESTRO COMAL,-,24," $1,491.00 "
177,KJoFvtyhuFE2J1cwnUwM,-,Huarache,-,-,24," $3,147.00 "
178,cDPljD1d2jGHxkaRqJKV,-,Aguacate,EXTRAS,-,12, $360.00 
179,1619020699153-CON 2 GUISOS,-,Tacos CON 2 GUISOS,DE NUESTRO COMAL,-,13, $520.00 
180,bAWPnTlmdFFQsnD6vLeC,-,Huevos Divorciados,-,-,19," $3,078.00 "
181,7ZK9PWF7C8dP0HU5Auk5,-,Enfrijoladas Con Cecina,-,-,13," $3,068.00 "
182,0rrUZv1V7MUoKQzbbFeT,-,PAQUETE HOY NO COCINAS DE POLLO O CERDO,PAQUETES ,-,8," $3,040.00 "
183,V9Ue3JmJaWbFH56UPG7T,-,Huarache Especial,-,-,14," $3,024.00 "
184,2rk6XGUFjzkEiCFCDO5g,-,Enfrijoladas Oaxaqueñas,-,-,14," $3,010.00 "
185,JBYV2zhObdw41Z3bw2t9,-,MENUDO,PAQUETES ,-,4, $920.00 
186,zboiSpxLJ5ecx0LHd2wA,-,Flautas De Res,-,-,17," $2,975.00 "
187,yysYWpfJ0wUfg5wWtxFS,-,PECHUGAS RELLENAS,MENU NAVIDEÑO,-,7," $2,975.00 "
188,HKlBSEJvmXOxJfNbSu2s,-,1KG PASTEL DE CARNE,DE NUESTRO COMAL,-,8," $2,930.00 "
189,h8sJ7bdJoarCWujFzzfu,-,CALDO DE CAMARON,PAQUETES ,-,8," $1,800.00 "
190,y9hu3EWzzic837bvbjHZ,-,Flautas De Papa,-,-,24," $2,904.00 "
191,mm2VFtz1U6lbvaE8ch0N,-,Chilaquiles Del Patrón,-,-,10," $2,900.00 "
192,M9UxaIaFLyVOFayBywoe,-,Enfrijoladas Con Cecina,-,-,12," $2,832.00 "
193,lJ21i0kKJE9A0PuNr10h,-,EVENTO SABADO 25,PAQUETES ,-,1," $2,800.00 "
194,z2VZVHS3CCBUtdksOXjE,-,POLLO DESHUESADO RELLENO,MENU NAVIDEÑO,-,6," $2,790.00 "
195,0lQ82xDonxOJMRuiWfxt,-,Huevos Rancheros,-,-,17," $2,754.00 "
196,1619020699148-CHORIZO,-,Chilaquiles CHORIZO,MENU ,-,4, $560.00 
197,RlZwqG1FoWhxBN55OfQa,-,PURE DE PAPA CON TOCINO CRUJIENTE,MENU NAVIDEÑO,-,11," $2,640.00 "
198,jU3SHidT0xN6Iik6Vmn4-NARANJADA,-,PEÑAFIEL NARANJADA,Bebidas ,-,4, $160.00 
199,sEoTfpjxoKaAvCWrN0Y9,-,Chilaquiles Sencillos,-,-,26," $2,626.00 "
200,jOPorDfy6fdUgzEhCLlc,-,SALMÓN,PAQUETES ,-,7," $1,995.00 "
201,SwP7Q2haoxpylRPzmSJ1-BISTEC,-,Enfrijoladas BISTEC,MENU ,-,2, $280.00 
202,ESfhooTVg6TSs9Wj99xD,-,PESCADO A LA TALLA,PAQUETES ,-,11," $1,815.00 "
203,phjaiq7R73R8jWPkdPP0,-,TORTA DE CARNITAS CHICA,MENU ,-,7, $890.00 
204,IXfLia0uxgqWdJrjnjkt,-,PAQUETE HOY NO COCINAS RES,PAQUETES ,-,6," $2,400.00 "
205,4P2aSg0qW2JTM32UjLY4,-,CAMBIO DE PROTEINA,EXTRAS,-,32, $640.00 
206,0pz1GZh32wjhfoDhb2DR,-,Principal C/agua Y Guarniciones,PAQUETES ,-,9," $1,170.00 "
207,2XtEcMpDkvgEAn81o6Pb,-,TORTA DE POLLO O CHORIZO,MENU ,-,6, $675.00 
208,feFpTJ2nx05EE0JgLEuJ,-,PESCADO EMPANIZADO,PAQUETES ,-,6," $1,215.00 "
209,UFBfitXvQbVfal6omWFv,-,LOMO EN SALSA DE PONCHE,MENU NAVIDEÑO,-,5," $2,250.00 "
210,9pkEXghxcivPiSOBuXQ7-Infantil,-,Consome de Pollo Infantil,MENU ,-,33," $1,650.00 "
211,abkva4J8tFk7YiDn1o8Q,-,Chilaquiles Con Bistec,-,-,12," $2,232.00 "
212,1zR6K99tRIlsWGFvGSx5,-,CHAMORRO,ESPECIALES ,-,8," $1,760.00 "
213,ZbPjIqLoSMpqimpCnQfP,-,Tortillas (docena),EXTRAS,-,50," $1,750.00 "
214,1619020699142-CON CECINA,-,Molletes CON CECINA,MENU ,-,3, $585.00 
215,slyqnuc4jcLmtsVBMZy3,-,Huevo Extra,EXTRAS,-,8, $160.00 
216,Hh0N4asDc7d6zxOxk4Pw,-,Huevos Con Jamón O Tocino,-,-,13," $2,106.00 "
217,vhatjNmBGwT7z2GeNuRY,-,MENUDO,MENU ,-,3, $690.00 
218,jU3SHidT0xN6Iik6Vmn4-RUSA MINERAL,-,PEÑAFIEL RUSA MINERAL,Bebidas ,-,1, $50.00 
219,1oCIWBQm0rQ7sZtZQcj5,-,Guarnición,PAQUETES ,-,36," $1,440.00 "
220,cdwv9mQWIp9aQ1Rc3zMk,-,TORTA QUESILLO O PANELA CHICA,MENU ,-,3, $300.00 
221,gQhgWPkQ33QJhEOqKOlC,-,CAMARONES HOJALDRADOS,PAQUETES ,-,6," $1,710.00 "
222,BqD3hUQ1nm2aXpswDxmy,-,Salsa 1/2 Lt,EXTRAS,-,26," $1,430.00 "
223,Vx6A6zTTDHA9aVHWJoLU,-,PEDIDO DE GUISOS,PAQUETES ,-,1," $1,970.00 "
224,nhLoAC2UY2ppZzbB3ls4-GUAYABA,-,BOING GUAYABA,Bebidas ,-,2, $80.00 
225,blEd3d9c5ZuXmJD2tJQC,-,TORTA ARRACHERA CHICA,MENU ,-,9," $1,170.00 "
226,tx00I8tIUHb4GpDcu1pv,-,Enfrijoladas Con Arrachera,-,-,10," $1,920.00 "
227,NQBcRIJpAAfoRKeJ8stR,-,1 KG DE GUISO DE COMAL,DE NUESTRO COMAL,-,4," $1,520.00 "
228,RnnfApZZFiOkaryFeWrc,-,TORTA JAMON CON MANCHEGO CHICA,MENU ,-,6, $530.00 
229,9fHoN5eFTlRjYQ4J22sT,-,PESCADO A LA TALLA,PAQUETES ,-,3, $630.00 
230,dwpH91v8RGWmS1fjJ4T6,-,PESCADO EMPANIZADO,PAQUETES ,-,3, $630.00 
231,lN8DTRyisuVvrT9poWh5,-,PLATO OAXAQUEÑO,PAQUETES ,-,4, $940.00 
232,1619020699140-CON CHORIZO,-,Huevos CON CHORIZO,MENU ,-,1, $125.00 
233,SwP7Q2haoxpylRPzmSJ1-VERACRUZANAS,-,Enfrijoladas VERACRUZANAS,MENU ,-,," $1,850.00 "
234,4oSpEo7S6P7VrHGDXhVF,-,FAJITAS DE ARRACHERA,ESPECIALES ,-,3, $600.00 
235,iCt8TeYxqwmARkk7zlj8,-,Frijoles 1/2 Lt,EXTRAS,-,30," $1,650.00 "
236,sPtQ1MWfSiPL2XtVV6sV,-,Enchiladas Rojas De Pollo.,-,-,9," $1,737.00 "
